,Fly_ROI,Fly,ROI,New_ROI
234,211026_3 57,211026_3,57,1.0
4,210830_1 12,210830_1,12,1.0
334,211027_4 8,211027_4,8,1.0
168,210910_2 75,210910_2,75,1.0
182,211026_3 1,211026_3,1,2.0
311,211027_4 59,211027_4,59,2.0
227,211026_3 50,211026_3,50,3.0
272,211027_4 23,211027_4,23,3.0
52,210830_1 56,210830_1,56,2.0
303,211027_4 51,211027_4,51,4.0
183,211026_3 10,211026_3,10,4.0
189,211026_3 16,211026_3,16,5.0
36,210830_1 41,210830_1,41,3.0
315,211027_4 62,211027_4,62,5.0
198,211026_3 24,211026_3,24,6.0
271,211027_4 22,211027_4,22,6.0
333,211027_4 79,211027_4,79,7.0
160,210910_2 68,210910_2,68,2.0
289,211027_4 39,211027_4,39,8.0
45,210830_1 5,210830_1,5,4.0
244,211026_3 66,211026_3,66,7.0
414,211029_5 8,211029_5,8,1.0
410,211029_5 75,211029_5,75,2.0
408,211029_5 73,211029_5,73,3.0
402,211029_5 68,211029_5,68,4.0
400,211029_5 66,211029_5,66,5.0
395,211029_5 61,211029_5,61,6.0
393,211029_5 6,211029_5,6,7.0
390,211029_5 57,211029_5,57,8.0
388,211029_5 55,211029_5,55,9.0
386,211029_5 53,211029_5,53,10.0
384,211029_5 51,211029_5,51,11.0
379,211029_5 47,211029_5,47,12.0
376,211029_5 44,211029_5,44,13.0
370,211029_5 39,211029_5,39,14.0
367,211029_5 36,211029_5,36,15.0
365,211029_5 34,211029_5,34,16.0
361,211029_5 30,211029_5,30,17.0
356,211029_5 26,211029_5,26,18.0
354,211029_5 24,211029_5,24,19.0
351,211029_5 21,211029_5,21,20.0
349,211029_5 2,211029_5,2,21.0
344,211029_5 15,211029_5,15,22.0
342,211029_5 13,211029_5,13,23.0
340,211029_5 11,211029_5,11,24.0
338,211029_5 1,211029_5,1,25.0
336,211027_4 9,211027_4,9,9.0
332,211027_4 78,211027_4,78,10.0
328,211027_4 74,211027_4,74,11.0
325,211027_4 71,211027_4,71,12.0
321,211027_4 68,211027_4,68,13.0
318,211027_4 65,211027_4,65,14.0
316,211027_4 63,211027_4,63,15.0
313,211027_4 60,211027_4,60,16.0
309,211027_4 57,211027_4,57,17.0
302,211027_4 50,211027_4,50,18.0
300,211027_4 49,211027_4,49,19.0
297,211027_4 46,211027_4,46,20.0
295,211027_4 44,211027_4,44,21.0
290,211027_4 4,211027_4,4,22.0
285,211027_4 35,211027_4,35,23.0
283,211027_4 33,211027_4,33,24.0
281,211027_4 31,211027_4,31,25.0
278,211027_4 29,211027_4,29,26.0
275,211027_4 26,211027_4,26,27.0
273,211027_4 24,211027_4,24,28.0
269,211027_4 20,211027_4,20,29.0
267,211027_4 19,211027_4,19,30.0
265,211027_4 17,211027_4,17,31.0
262,211027_4 14,211027_4,14,32.0
260,211027_4 12,211027_4,12,33.0
257,211027_4 1,211027_4,1,34.0
255,211026_3 9,211026_3,9,8.0
253,211026_3 74,211026_3,74,9.0
245,211026_3 67,211026_3,67,10.0
241,211026_3 63,211026_3,63,11.0
239,211026_3 61,211026_3,61,12.0
237,211026_3 6,211026_3,6,13.0
228,211026_3 51,211026_3,51,14.0
225,211026_3 49,211026_3,49,15.0
223,211026_3 47,211026_3,47,16.0
221,211026_3 45,211026_3,45,17.0
219,211026_3 43,211026_3,43,18.0
217,211026_3 41,211026_3,41,19.0
213,211026_3 38,211026_3,38,20.0
211,211026_3 36,211026_3,36,21.0
208,211026_3 33,211026_3,33,22.0
206,211026_3 31,211026_3,31,23.0
199,211026_3 25,211026_3,25,24.0
196,211026_3 22,211026_3,22,25.0
194,211026_3 20,211026_3,20,26.0
192,211026_3 19,211026_3,19,27.0
187,211026_3 14,211026_3,14,28.0
184,211026_3 11,211026_3,11,29.0
180,210910_2 9,210910_2,9,3.0
177,210910_2 83,210910_2,83,4.0
175,210910_2 81,210910_2,81,5.0
172,210910_2 79,210910_2,79,6.0
166,210910_2 73,210910_2,73,7.0
164,210910_2 71,210910_2,71,8.0
161,210910_2 69,210910_2,69,9.0
157,210910_2 65,210910_2,65,10.0
155,210910_2 63,210910_2,63,11.0
153,210910_2 61,210910_2,61,12.0
151,210910_2 6,210910_2,6,13.0
143,210910_2 52,210910_2,52,14.0
139,210910_2 49,210910_2,49,15.0
136,210910_2 46,210910_2,46,16.0
132,210910_2 42,210910_2,42,17.0
130,210910_2 40,210910_2,40,18.0
127,210910_2 38,210910_2,38,19.0
125,210910_2 36,210910_2,36,20.0
123,210910_2 34,210910_2,34,21.0
117,210910_2 29,210910_2,29,22.0
113,210910_2 25,210910_2,25,23.0
106,210910_2 19,210910_2,19,24.0
103,210910_2 16,210910_2,16,25.0
98,210910_2 11,210910_2,11,26.0
93,210830_1 93,210830_1,93,5.0
85,210830_1 86,210830_1,86,6.0
80,210830_1 81,210830_1,81,7.0
73,210830_1 75,210830_1,75,8.0
69,210830_1 71,210830_1,71,9.0
64,210830_1 67,210830_1,67,10.0
60,210830_1 63,210830_1,63,11.0
56,210830_1 6,210830_1,6,12.0
46,210830_1 50,210830_1,50,13.0
34,210830_1 4,210830_1,4,14.0
31,210830_1 37,210830_1,37,15.0
15,210830_1 22,210830_1,22,16.0
13,210830_1 20,210830_1,20,17.0
8,210830_1 16,210830_1,16,18.0
6,210830_1 14,210830_1,14,19.0
5,210830_1 13,210830_1,13,20.0
11,210830_1 19,210830_1,19,21.0
14,210830_1 21,210830_1,21,22.0
19,210830_1 26,210830_1,26,23.0
33,210830_1 39,210830_1,39,24.0
41,210830_1 46,210830_1,46,25.0
55,210830_1 59,210830_1,59,26.0
58,210830_1 61,210830_1,61,27.0
62,210830_1 65,210830_1,65,28.0
66,210830_1 69,210830_1,69,29.0
71,210830_1 73,210830_1,73,30.0
75,210830_1 77,210830_1,77,31.0
82,210830_1 83,210830_1,83,32.0
92,210830_1 92,210830_1,92,33.0
97,210910_2 10,210910_2,10,27.0
100,210910_2 13,210910_2,13,28.0
104,210910_2 17,210910_2,17,29.0
111,210910_2 23,210910_2,23,30.0
114,210910_2 26,210910_2,26,31.0
122,210910_2 33,210910_2,33,32.0
124,210910_2 35,210910_2,35,33.0
126,210910_2 37,210910_2,37,34.0
129,210910_2 4,210910_2,4,35.0
131,210910_2 41,210910_2,41,36.0
135,210910_2 45,210910_2,45,37.0
137,210910_2 47,210910_2,47,38.0
140,210910_2 5,210910_2,5,39.0
144,210910_2 53,210910_2,53,40.0
152,210910_2 60,210910_2,60,41.0
154,210910_2 62,210910_2,62,42.0
156,210910_2 64,210910_2,64,43.0
159,210910_2 67,210910_2,67,44.0
162,210910_2 7,210910_2,7,45.0
165,210910_2 72,210910_2,72,46.0
171,210910_2 78,210910_2,78,47.0
173,210910_2 8,210910_2,8,48.0
176,210910_2 82,210910_2,82,49.0
178,210910_2 84,210910_2,84,50.0
181,211026_3 0,211026_3,0,30.0
186,211026_3 13,211026_3,13,31.0
188,211026_3 15,211026_3,15,32.0
193,211026_3 2,211026_3,2,33.0
195,211026_3 21,211026_3,21,34.0
197,211026_3 23,211026_3,23,35.0
204,211026_3 3,211026_3,3,36.0
207,211026_3 32,211026_3,32,37.0
210,211026_3 35,211026_3,35,38.0
212,211026_3 37,211026_3,37,39.0
215,211026_3 4,211026_3,4,40.0
218,211026_3 42,211026_3,42,41.0
220,211026_3 44,211026_3,44,42.0
222,211026_3 46,211026_3,46,43.0
224,211026_3 48,211026_3,48,44.0
226,211026_3 5,211026_3,5,45.0
236,211026_3 59,211026_3,59,46.0
238,211026_3 60,211026_3,60,47.0
240,211026_3 62,211026_3,62,48.0
242,211026_3 64,211026_3,64,49.0
252,211026_3 73,211026_3,73,50.0
254,211026_3 8,211026_3,8,51.0
256,211027_4 0,211027_4,0,35.0
259,211027_4 11,211027_4,11,36.0
261,211027_4 13,211027_4,13,37.0
263,211027_4 15,211027_4,15,38.0
266,211027_4 18,211027_4,18,39.0
268,211027_4 2,211027_4,2,40.0
270,211027_4 21,211027_4,21,41.0
274,211027_4 25,211027_4,25,42.0
276,211027_4 27,211027_4,27,43.0
279,211027_4 3,211027_4,3,44.0
282,211027_4 32,211027_4,32,45.0
284,211027_4 34,211027_4,34,46.0
286,211027_4 36,211027_4,36,47.0
291,211027_4 40,211027_4,40,48.0
296,211027_4 45,211027_4,45,49.0
299,211027_4 48,211027_4,48,50.0
301,211027_4 5,211027_4,5,51.0
308,211027_4 56,211027_4,56,52.0
310,211027_4 58,211027_4,58,53.0
314,211027_4 61,211027_4,61,54.0
317,211027_4 64,211027_4,64,55.0
320,211027_4 67,211027_4,67,56.0
322,211027_4 69,211027_4,69,57.0
326,211027_4 72,211027_4,72,58.0
331,211027_4 77,211027_4,77,59.0
335,211027_4 80,211027_4,80,60.0
337,211029_5 0,211029_5,0,26.0
339,211029_5 10,211029_5,10,27.0
341,211029_5 12,211029_5,12,28.0
343,211029_5 14,211029_5,14,29.0
345,211029_5 16,211029_5,16,30.0
350,211029_5 20,211029_5,20,31.0
352,211029_5 22,211029_5,22,32.0
355,211029_5 25,211029_5,25,33.0
357,211029_5 27,211029_5,27,34.0
363,211029_5 32,211029_5,32,35.0
366,211029_5 35,211029_5,35,36.0
368,211029_5 37,211029_5,37,37.0
373,211029_5 41,211029_5,41,38.0
377,211029_5 45,211029_5,45,39.0
383,211029_5 50,211029_5,50,40.0
385,211029_5 52,211029_5,52,41.0
387,211029_5 54,211029_5,54,42.0
389,211029_5 56,211029_5,56,43.0
391,211029_5 58,211029_5,58,44.0
394,211029_5 60,211029_5,60,45.0
396,211029_5 62,211029_5,62,46.0
401,211029_5 67,211029_5,67,47.0
404,211029_5 7,211029_5,7,48.0
409,211029_5 74,211029_5,74,49.0
411,211029_5 76,211029_5,76,50.0
415,211029_5 9,211029_5,9,51.0
163,210910_2 70,210910_2,70,51.0
39,210830_1 44,210830_1,44,34.0
9,210830_1 17,210830_1,17,35.0
10,210830_1 18,210830_1,18,36.0
61,210830_1 64,210830_1,64,37.0
118,210910_2 3,210910_2,3,52.0
63,210830_1 66,210830_1,66,38.0
84,210830_1 85,210830_1,85,39.0
83,210830_1 84,210830_1,84,40.0
95,210910_2 0,210910_2,0,53.0
375,211029_5 43,211029_5,43,52.0
174,210910_2 80,210910_2,80,54.0
65,210830_1 68,210830_1,68,41.0
18,210830_1 25,210830_1,25,42.0
348,211029_5 19,211029_5,19,53.0
78,210830_1 8,210830_1,8,43.0
3,210830_1 11,210830_1,11,44.0
292,211027_4 41,211027_4,41,61.0
105,210910_2 18,210910_2,18,55.0
25,210830_1 31,210830_1,31,45.0
0,210830_1 0,210830_1,0,46.0
2,210830_1 10,210830_1,10,47.0
108,210910_2 20,210910_2,20,56.0
24,210830_1 30,210830_1,30,48.0
89,210830_1 9,210830_1,9,49.0
374,211029_5 42,211029_5,42,54.0
70,210830_1 72,210830_1,72,50.0
72,210830_1 74,210830_1,74,51.0
347,211029_5 18,211029_5,18,55.0
12,210830_1 2,210830_1,2,52.0
305,211027_4 53,211027_4,53,62.0
57,210830_1 60,210830_1,60,53.0
406,211029_5 71,211029_5,71,56.0
329,211027_4 75,211027_4,75,63.0
280,211027_4 30,211027_4,30,64.0
116,210910_2 28,210910_2,28,57.0
76,210830_1 78,210830_1,78,54.0
59,210830_1 62,210830_1,62,55.0
27,210830_1 33,210830_1,33,56.0
26,210830_1 32,210830_1,32,57.0
74,210830_1 76,210830_1,76,58.0
94,210830_1 94,210830_1,94,59.0
142,210910_2 51,210910_2,51,58.0
327,211027_4 73,211027_4,73,65.0
397,211029_5 63,211029_5,63,57.0
28,210830_1 34,210830_1,34,60.0
413,211029_5 78,211029_5,78,58.0
407,211029_5 72,211029_5,72,59.0
403,211029_5 69,211029_5,69,60.0
392,211029_5 59,211029_5,59,61.0
381,211029_5 49,211029_5,49,62.0
372,211029_5 40,211029_5,40,63.0
364,211029_5 33,211029_5,33,64.0
360,211029_5 3,211029_5,3,65.0
353,211029_5 23,211029_5,23,66.0
319,211027_4 66,211027_4,66,66.0
288,211027_4 38,211027_4,38,67.0
251,211026_3 72,211026_3,72,52.0
235,211026_3 58,211026_3,58,53.0
214,211026_3 39,211026_3,39,54.0
191,211026_3 18,211026_3,18,55.0
170,210910_2 77,210910_2,77,59.0
145,210910_2 54,210910_2,54,60.0
138,210910_2 48,210910_2,48,61.0
133,210910_2 43,210910_2,43,62.0
102,210910_2 15,210910_2,15,63.0
86,210830_1 87,210830_1,87,61.0
68,210830_1 70,210830_1,70,62.0
51,210830_1 55,210830_1,55,63.0
40,210830_1 45,210830_1,45,64.0
37,210830_1 42,210830_1,42,65.0
32,210830_1 38,210830_1,38,66.0
29,210830_1 35,210830_1,35,67.0
21,210830_1 28,210830_1,28,68.0
16,210830_1 23,210830_1,23,69.0
7,210830_1 15,210830_1,15,70.0
1,210830_1 1,210830_1,1,71.0
20,210830_1 27,210830_1,27,72.0
22,210830_1 29,210830_1,29,73.0
30,210830_1 36,210830_1,36,74.0
35,210830_1 40,210830_1,40,75.0
38,210830_1 43,210830_1,43,76.0
50,210830_1 54,210830_1,54,77.0
67,210830_1 7,210830_1,7,78.0
81,210830_1 82,210830_1,82,79.0
90,210830_1 90,210830_1,90,80.0
110,210910_2 22,210910_2,22,64.0
134,210910_2 44,210910_2,44,65.0
141,210910_2 50,210910_2,50,66.0
147,210910_2 56,210910_2,56,67.0
190,211026_3 17,211026_3,17,56.0
209,211026_3 34,211026_3,34,57.0
233,211026_3 56,211026_3,56,58.0
249,211026_3 70,211026_3,70,59.0
277,211027_4 28,211027_4,28,68.0
298,211027_4 47,211027_4,47,69.0
346,211029_5 17,211029_5,17,67.0
359,211029_5 29,211029_5,29,68.0
362,211029_5 31,211029_5,31,69.0
369,211029_5 38,211029_5,38,70.0
380,211029_5 48,211029_5,48,71.0
382,211029_5 5,211029_5,5,72.0
398,211029_5 64,211029_5,64,73.0
405,211029_5 70,211029_5,70,74.0
412,211029_5 77,211029_5,77,75.0
167,210910_2 74,210910_2,74,68.0
287,211027_4 37,211027_4,37,70.0
99,210910_2 12,210910_2,12,69.0
229,211026_3 52,211026_3,52,60.0
150,210910_2 59,210910_2,59,70.0
399,211029_5 65,211029_5,65,76.0
146,210910_2 55,210910_2,55,71.0
119,210910_2 30,210910_2,30,72.0
293,211027_4 42,211027_4,42,71.0
107,210910_2 2,210910_2,2,73.0
231,211026_3 54,211026_3,54,61.0
54,210830_1 58,210830_1,58,81.0
158,210910_2 66,210910_2,66,74.0
250,211026_3 71,211026_3,71,62.0
232,211026_3 55,211026_3,55,63.0
203,211026_3 29,211026_3,29,64.0
96,210910_2 1,210910_2,1,75.0
77,210830_1 79,210830_1,79,82.0
307,211027_4 55,211027_4,55,72.0
42,210830_1 47,210830_1,47,83.0
128,210910_2 39,210910_2,39,76.0
323,211027_4 7,211027_4,7,73.0
230,211026_3 53,211026_3,53,65.0
179,210910_2 85,210910_2,85,77.0
53,210830_1 57,210830_1,57,84.0
201,211026_3 27,211026_3,27,66.0
115,210910_2 27,210910_2,27,78.0
247,211026_3 69,211026_3,69,67.0
101,210910_2 14,210910_2,14,79.0
120,210910_2 31,210910_2,31,80.0
371,211029_5 4,211029_5,4,77.0
358,211029_5 28,211029_5,28,78.0
378,211029_5 46,211029_5,46,79.0
200,211026_3 26,211026_3,26,68.0
312,211027_4 6,211027_4,6,74.0
148,210910_2 57,210910_2,57,81.0
121,210910_2 32,210910_2,32,82.0
185,211026_3 12,211026_3,12,69.0
47,210830_1 51,210830_1,51,85.0
324,211027_4 70,211027_4,70,75.0
149,210910_2 58,210910_2,58,83.0
264,211027_4 16,211027_4,16,76.0
112,210910_2 24,210910_2,24,84.0
205,211026_3 30,211026_3,30,70.0
23,210830_1 3,210830_1,3,86.0
306,211027_4 54,211027_4,54,77.0
91,210830_1 91,210830_1,91,87.0
169,210910_2 76,210910_2,76,85.0
202,211026_3 28,211026_3,28,71.0
109,210910_2 21,210910_2,21,86.0
17,210830_1 24,210830_1,24,88.0
216,211026_3 40,211026_3,40,72.0
43,210830_1 48,210830_1,48,89.0
44,210830_1 49,210830_1,49,90.0
49,210830_1 53,210830_1,53,91.0
48,210830_1 52,210830_1,52,92.0
294,211027_4 43,211027_4,43,78.0
258,211027_4 10,211027_4,10,79.0
304,211027_4 52,211027_4,52,80.0
330,211027_4 76,211027_4,76,81.0
79,210830_1 80,210830_1,80,93.0
87,210830_1 88,210830_1,88,94.0
88,210830_1 89,210830_1,89,95.0
248,211026_3 7,211026_3,7,73.0
243,211026_3 65,211026_3,65,74.0
246,211026_3 68,211026_3,68,75.0
